Direction,p (L1-L6),Min p,Best lag,Conclusion
D_ln_Turn -> D_ln_0388,L1:0.626  L2:0.585  L3:0.887  L4:0.832  L5:0.662  L6:0.333,0.3331,6,NO
D_ln_0388 -> D_ln_Turn,L1:0.081  L2:0.067  L3:0.090  L4:0.123  L5:0.099  L6:0.192,0.0672,2,YES *
