Direction,p (L1-L6),Min p,Best lag,Conclusion
D_ln_Turn -> D_ln_0388,L1:0.759  L2:0.872  L3:0.953  L4:0.448  L5:0.514  L6:0.096  L7:0.125  L8:0.039,0.0388,8,YES **
D_ln_0388 -> D_ln_Turn,L1:0.010  L2:0.005  L3:0.005  L4:0.003  L5:0.002  L6:0.001  L7:0.000  L8:0.000,0.0001,7,YES ***
